code,name,2012_Population,2012_Deaths,2012_Standardised_death_rate,2013_Population,2013_Deaths,2013_Standardised_death_rate,2014_Population,2014_Deaths,2014_Standardised_death_rate,2015_Population,2015_Deaths,2015_Standardised_death_rate,2016_Population,2016_Deaths,2016_Standardised_death_rate,2017_Population,2017_Deaths,2017_Standardised_death_rate,2018_Population,2018_Deaths,2018_Standardised_death_rate,2019_Population,2019_Deaths,2020_Population,2020_Deaths,2019_Standardised_death_rate,2020_Standardised_death_rate
102011028,Avoca Beach - Copacabana,7362,20,3.6,7428,13,,7502,21,2.5,7562,32,2.9,7626,23,3.2,7676,22,3.3,7733,24,2.9,7803.14285714286,26.7142857142853,7865.03571428571,27.8571428571422,3.37142857142857,3.55714285714288
102011029,Box Head - MacMasters Beach,10748,61,3.8,10810,60,3.8,10871,92,4.2,10933,50,4.1,10995,66,4.1,11030,55,3.4,11112,64,3.5,11165,60.1428571428573,11224.1428571429,59.1785714285716,3.58571428571429,3.52142857142857
102011030,Calga - Kulnura,4632,21,4.7,4691,30,4.8,4746,20,4.6,4799,25,4.7,4858,27,4.4,4890,32,4.8,4938,23,4.3,4997.42857142855,27.8571428571427,5048.42857142855,28.4642857142853,4.41428571428573,4.36428571428571
102011031,Erina - Green Point,14122,203,7.1,14186,181,5.6,14243,266,6,14285,294,6.6,14342,282,7.1,14347,305,7.5,14384,284,7.7,14445.1428571429,331.714285714283,14488.25,349.821428571428,7.75714285714281,7.99642857142857
102011032,Gosford - Springfield,18932,265,8,18998,268,9.4,19046,218,8.7,19194,168,7.7,19382,163,6.4,19497,156,5.6,19653,166,5.6,19742.7142857143,118.285714285717,19867.6071428571,97.7142857142899,4.89999999999986,4.2892857142856
102011033,Kariong,6640,18,,6643,20,4.7,6633,26,4.7,6607,15,,6586,21,4.2,6567,21,3.9,6583,20,4.2,6555.57142857143,20.5714285714285,6542.35714285715,20.6785714285713,4.59999999999991,4.97499999999991
102011034,Kincumber - Picketts Valley,7365,90,5.8,7400,96,5.6,7425,122,5.7,7448,114,6.3,7483,122,6.6,7484,102,6.3,7531,110,6,7551.42857142857,118.285714285714,7577.28571428571,120.857142857142,6.45714285714283,6.56071428571426
102011035,Narara,6747,33,4.1,6779,24,4,6798,27,4.4,6822,35,4.4,6848,31,4.6,6872,18,,6904,30,4.3,6925.2857142857,25.8571428571431,6950.53571428571,25.2500000000002,2.65714285714296,2.40000000000009
102011036,Niagara Park - Lisarow,8277,29,4.7,8264,38,4.7,8243,52,5.3,8215,49,6,8201,56,6,8175,72,6.5,8152,72,7,8133.14285714287,81.285714285712,8111.89285714287,88.4642857142826,7.34285714285704,7.74285714285713
102011037,Point Clare - Koolewong,6485,91,7.2,6465,76,6.9,6438,82,7.2,6410,85,7.1,6389,71,7.2,6343,75,7.1,6308,91,8,6287.71428571429,79.7142857142859,6258.28571428572,79.2500000000002,7.64285714285714,7.74285714285716
102011038,Saratoga - Davistown,6899,42,4.1,6975,44,4.1,7072,35,3.7,7129,43,3.8,7195,37,3.5,7234,41,3.6,7307,40,3.6,7382.2857142857,38.8571428571429,7448.89285714286,38.5,3.3857142857143,3.28928571428571
102011039,Terrigal - North Avoca,13328,44,3.1,13445,47,3,13549,51,2.9,13765,55,3.2,13939,54,3.3,14086,58,3.4,14281,59,3.3,14417.7142857143,62.5714285714285,14579.5357142857,65.0714285714285,3.42857142857142,3.49285714285713
